created,text,retwc,hashtag,followers,friends
2017-09-07 16:27:53,b'RT @olympicchannel: From malaria to medal @annyonuora was fighting for her life. 10 months later she stood again on the Olympic podium. @ia\xe2\x80\xa6',12,None,907911,1788
2017-09-07 16:27:05,b'RT @OdemwingiePresh: This is Malaria https://t.co/N8T67ocS0f',1,None,1217,637
2017-09-07 16:26:46,"b""RT @HarvardMalaria: It's #BackToSchool season! Enroll in #MalariaX to learn from top malaria &amp; global health experts \xe2\x80\x94 for free https://t.c\xe2\x80\xa6""",6,BackToSchool,65,563
2017-09-07 16:26:19,"b'RT @MoetiTshidi: Progress must speed up to reach the global target of at least a 40% reduction in #malaria cases &amp; deaths by 2020, compared\xe2\x80\xa6'",6,malaria,619,545
2017-09-07 16:26:00,"b'Outbreaks of diarrhea, malaria, and dengue hit South Asia after the region\xe2\x80\x99s worst floods in a decade. https://t.co/WpvmgDuKEb'",1,None,24873,4838
2017-09-07 16:24:21,b'RT @OANN: Italy Faces Malaria Diagnosis Years After Eradicating the Disease - https://t.co/1UJ0O78KUX #OANN https://t.co/zKytihnTkp',56,OANN,4221,2891
2017-09-07 16:23:38,"b""RT @HarvardMalaria: It's #BackToSchool season! Enroll in #MalariaX to learn from top malaria &amp; global health experts \xe2\x80\x94 for free https://t.c\xe2\x80\xa6""",6,BackToSchool,19,99
2017-09-07 16:23:11,b'New method for producing malaria treatment at large scales via @bioengineers',0,None,86,184
2017-09-07 16:23:11,"b""RT @APHL: Thousands hit by malaria, dengue as South Asia's worst floods in a decade recede https://t.co/cSPPLcAMAL #NatlPrep""",3,NatlPrep,344,386
2017-09-07 16:23:06,b'RT @NigeriaNewsdesk: Italy treating death of girl killed by malaria as manslaughter https://t.co/7H1W1I9jE2 via @todayng',1,None,323,391
2017-09-07 16:22:33,b'RT @MalariaWorld: Rare #malaria death of girl in northern Italy puzzles doctors - BBC News https://t.co/C7YNNu4dW9',2,malaria,954,1846
2017-09-07 16:20:59,b'Fuckin malaria! https://t.co/4zFzsF3HxE',0,None,1105,116
2017-09-07 16:20:19,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,40,122
2017-09-07 16:20:16,b'This is Malaria https://t.co/N8T67ocS0f',1,None,2115,1496
2017-09-07 16:19:33,b'Luampil is an odourless malaria drug approved by WHO.  it is available in all leading pharmacy nationwide and a pac\xe2\x80\xa6 https://t.co/gAvOuO8wZD',0,None,204,4
2017-09-07 16:19:17,b'Bout to get me a Nandos fighting malaria top',0,None,978,743
2017-09-07 16:18:16,"b""Italy opens manslaughter probe over girl's malaria death\n       \nhttps://t.co/nXkHLijpCD""",0,None,28,8
2017-09-07 16:17:27,"b'RT @myhtopoeic: Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUx\xe2\x80\xa6'",8,None,668,296
2017-09-07 16:16:54,b'RT @LSHTM_malaria: Could this be a next-generation antimalarial drug? https://t.co/242gRZVwrY #malaria #blog @lifearc1',6,malaria,115,90
2017-09-07 16:16:45,"b'So sorry to hear this. Please if you have not taken any malaria med, take Lumapil anti malaria drug and you will be\xe2\x80\xa6 https://t.co/RPOidz0j0C'",0,None,204,4
2017-09-07 16:16:39,b'Malaria risk zones expand to higher elevations in Ethiopian Highlands - https://t.co/nJfpfcQsQM',0,None,714,199
2017-09-07 16:14:10,"b'RT @MaharshiDinesh: @VasundharaBJP @swachhbharat @narendramodi RAJ LT Plays key role in all#NATIONAL HEALTH PROGRAMMES-PMSMA,NVBDCP,RNTCP,M\xe2\x80\xa6'",24,None,83,163
2017-09-07 16:13:38,b'RT @pepnaija: Amazing!\n\nScientists in South Africa Discover a Compound That Could End Malaria: https://t.co/NQRYIpZCNj #Malaria #MG\nBye to\xe2\x80\xa6',69,Malaria,109,183
2017-09-07 16:12:27,b'Italy treating death of girl killed by malaria as manslaughter https://t.co/iZ7szhQQF6 via todayng',0,None,241,307
2017-09-07 16:12:13,b'Italy treating death of girl killed by malaria as manslaughter https://t.co/7H1W1I9jE2 via @todayng',1,None,1426018,2
2017-09-07 16:11:17,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,4453,5000
2017-09-07 16:10:09,"b'""Significant headway has been made in controlling malaria""'",0,None,149,26
2017-09-07 16:10:09,"b""RT @HarvardMalaria: It's #BackToSchool season! Enroll in #MalariaX to learn from top malaria &amp; global health experts \xe2\x80\x94 for free https://t.c\xe2\x80\xa6""",6,BackToSchool,233796,2367
2017-09-07 16:10:05,"b""@ticocarr @BitchWithA_W True &amp; accurate. #Malaria fighters not stupid. Public health defenders don't sacrifice live\xe2\x80\xa6 https://t.co/uXHvHqBQ7U""",0,Malaria,4825,5298
2017-09-07 16:10:01,b'RT @Ahmedsaleem: Treating Malaria makes one to feel more of the sickness than having it.',0,None,1092,277
2017-09-07 16:06:52,"b""RT @HarvardMalaria: It's #BackToSchool season! Enroll in #MalariaX to learn from top malaria &amp; global health experts \xe2\x80\x94 for free https://t.c\xe2\x80\xa6""",6,BackToSchool,149,89
2017-09-07 16:06:40,b'RT @BreitbartLondon: Malaria Death of Four-Year-Old Girl in Italy Reignites Immigration Debate\n https://t.co/rvqJMLb9Ca',46,None,725,2026
2017-09-07 16:05:32,"b'RT @bbbrieger: Transforming Intermittent Preventive Treatment for Optimal #Pregnancy #TIPTOP innovative, community-based https://t.co/SjDxi\xe2\x80\xa6'",1,Pregnancy,2085,4723
2017-09-07 16:05:22,b'RT @GaryM: Infographic: Using Gene Drive to Control #Malaria https://t.co/k41MO3QMgx #genetics #science #scichat',1,Malaria,2085,4723
2017-09-07 16:05:18,"b'RT @GlobalHealthOrg: In 2015, there were 212 million cases of #malaria worldwide - via @CDCgov #EndMalaria https://t.co/Etmwmo5UQ6'",3,malaria,2085,4723
2017-09-07 16:05:14,"b""It's #BackToSchool season! Enroll in #MalariaX to learn from top malaria &amp; global health experts \xe2\x80\x94 for free\xe2\x80\xa6 https://t.co/u1sH5Dplue""",6,BackToSchool,1697,585
2017-09-07 16:05:04,b'RT @infravec2: RT @MicrobesInfect Increasing threat of #VectorBorneDisease from #ClimateChange #Malaria #dengue #RiftValleyFever https://t.\xe2\x80\xa6',11,VectorBorneDisease,2085,4723
2017-09-07 16:04:52,"b""RT @ASMnewsroom: Strategy for vaccinating pregnant mothers against #malaria may protect infants - Research in @ASMicrobiology's #CVI https:\xe2\x80\xa6""",12,malaria,2085,4723
2017-09-07 16:04:50,b'RT @MicrobesInfect: Italy investigates #malaria death of child who had not been abroad https://t.co/IpqZW2vraa #mosquitoes',14,malaria,2085,4723
2017-09-07 16:04:47,b'RT @MicrobesInfect: New drugs block transmission of #Plasmodium falciparum from infected host (mouse model) to #mosquitoes https://t.co/Cpb\xe2\x80\xa6',8,Plasmodium,2085,4723
2017-09-07 16:04:42,"b""RT @MicrobesInfect: In A Case That Is 'Almost Impossible,' Girl Dies Of #Malaria In Italy https://t.co/2eGl3yhYF7""",10,Malaria,2085,4723
2017-09-07 16:04:39,b'RT @AleDemogr: From the @MalariaAtlas project: Dominant malaria vectors map in 2010 globally. How did #malaria end up in #Italy? https://t.\xe2\x80\xa6',1,malaria,2085,4723
2017-09-07 16:04:38,"b""It's either this ram has no idea that malaria will not be the cause of his death or the owner\xe2\x80\xa6 https://t.co/5SlXMyfBcn""",0,None,8658,1879
2017-09-07 16:04:35,"b'RT @MENTOR_Hq: Though @WHO declared #Italy #Malaria free in 1970, this case shows battle w/ #disease cannot end at our borders @NPR https:/\xe2\x80\xa6'",2,Italy,2085,4723
2017-09-07 16:04:27,b'RT @Bioiberica: The challenge of #heparin: fighting #cancer and #malaria \xf0\x9f\x8e\xa5 https://t.co/FmVSm3NjfK #100yearsHeparin',1,heparin,2085,4723
2017-09-07 16:04:22,b'RT @Rajkumar__soni: @VasundharaBJP \n#swineflu\n#dengue\n#malaria\n#labtech on mass leave\n Govt should resolve #payanomalies\n#RajLABTECH_DESERV\xe2\x80\xa6',24,swineflu,83,163
2017-09-07 16:04:22,b'RT @pepnaija: Amazing!\n\nScientists in South Africa Discover a Compound That Could End Malaria: https://t.co/NQRYIpZCNj #Malaria #MG\nBye to\xe2\x80\xa6',69,Malaria,2085,4723
2017-09-07 16:04:17,b'@Aaliyah_chan I think the guys who made regular show were on malaria meds',0,None,5194,1526
2017-09-07 16:04:09,"b""RT @MailOnline: Italy opens manslaughter probe over four-year-old girl's malaria death https://t.co/AoGoWa2sAE""",17,None,3741,5000
2017-09-07 16:03:47,"b'RT @myhtopoeic: Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUx\xe2\x80\xa6'",8,None,3741,5000
2017-09-07 16:03:43,"b'RT @myhtopoeic: Possible reused needle at hospital?\n\nHow did malaria end up in Italy, again?\n\nI think we know the answer. https://t.co/2BUx\xe2\x80\xa6'",8,None,2873,2544
2017-09-07 16:03:31,b'From malaria to Olympic medallist https://t.co/SKtVhjSmu0 posted by BBC News.',0,None,1035,489
